dimension,n,mst
0,128,1.255906
0,256,1.213095
0,512,1.225801
0,1024,1.213679
0,2048,1.197248
0,4096,1.201967
0,8192,1.195961
0,16384,1.203024
0,32768,1.202328
1,128,12.038915
1,256,20.95799
1,512,37.159557
1,1024,66.784348
1,2048,120.737142
1,4096,217.993748
1,8192,403.7123
1,16384,740.533378
1,32768,1374.988272
1,65536,2572.040492
1,131072,4829.615305
1,262144,9112.09997
2,128,7.680949
2,256,10.726962
2,512,15.052625
2,1024,21.03461
2,2048,29.611967
2,4096,41.855311
2,8192,58.840759
2,16384,83.297193
2,32768,117.526987
3,128,17.805302
3,256,27.344854
3,512,43.348968
3,1024,68.103592
3,2048,107.064146
3,4096,169.216085
3,8192,267.134367
3,16384,422.344713
3,32768,668.492742
4,128,28.236346
4,256,46.909531
4,512,78.152069
4,1024,129.726349
4,2048,216.475365
4,4096,361.470867
4,8192,603.358406
4,16384,1009.258765
4,32768,1688.141157
